GLPSOL--GLPK LP/MIP Solver 5.0
Parameter(s) specified in the command line:
 -m ../GLPK/GraphColoringGLPK.mod -d 2-FullIns_4.col.dat -o ../sol/2-FullIns_4.col.dat.sol
Reading model section from ../GLPK/GraphColoringGLPK.mod...
../GLPK/GraphColoringGLPK.mod:28: warning: unexpected end of file; missing end statement inserted
28 lines were read
Reading data section from 2-FullIns_4.col.dat...
3247 lines were read
Generating colors_count...
Generating R1...
Generating R2...
Generating R3...
Model has been successfully generated
GLPK Integer Optimizer 5.0
687728 rows, 45156 columns, 2196532 non-zeros
45156 integer variables, all of which are binary
Preprocessing...
687727 rows, 45156 columns, 2196320 non-zeros
45156 integer variables, all of which are binary
Scaling...
 A: min|aij| =  1.000e+00  max|aij| =  1.000e+00  ratio =  1.000e+00
Problem data seem to be well scaled
Constructing initial basis...
Size of triangular part is 687727
Solving LP relaxation...
GLPK Simplex Optimizer 5.0
687727 rows, 45156 columns, 2196320 non-zeros
      0: obj =   0.000000000e+00 inf =   6.696e+03 (3243)
* 47784: obj =   7.388906178e+00 inf =   1.797e-04 (22631) 1
* 47899: obj =   7.383525976e+00 inf =   1.794e-04 (23665) 1
* 48013: obj =   7.370196617e+00 inf =   1.788e-04 (23583) 1
* 48131: obj =   7.366584532e+00 inf =   1.769e-04 (23254) 1
* 48249: obj =   7.362349291e+00 inf =   1.784e-04 (23182) 1
* 48365: obj =   7.357851286e+00 inf =   1.776e-04 (22208) 1
* 48476: obj =   7.348811447e+00 inf =   1.791e-04 (23252) 2
* 48592: obj =   7.343910055e+00 inf =   1.783e-04 (23414) 1
* 48707: obj =   7.336391586e+00 inf =   1.808e-04 (21909) 1
* 48820: obj =   7.323299367e+00 inf =   1.815e-04 (23423) 1
* 48935: obj =   7.310682219e+00 inf =   1.813e-04 (22924) 1
* 49050: obj =   7.300881916e+00 inf =   1.853e-04 (22783) 1
* 49170: obj =   7.297690975e+00 inf =   1.964e-04 (22918) 1
* 49287: obj =   7.292137730e+00 inf =   2.044e-04 (23167) 1
* 49401: obj =   7.284955075e+00 inf =   2.075e-04 (22233) 1
* 49512: obj =   7.265231869e+00 inf =   2.097e-04 (22490) 1
* 49623: obj =   7.256568603e+00 inf =   2.082e-04 (22838) 2
* 49736: obj =   7.248980578e+00 inf =   2.124e-04 (22645) 1
* 49848: obj =   7.234856832e+00 inf =   2.149e-04 (22429) 1
* 49958: obj =   7.220985955e+00 inf =   2.153e-04 (23491) 1
* 50073: obj =   7.214048536e+00 inf =   2.083e-04 (23117) 1
* 50190: obj =   7.210733397e+00 inf =   2.142e-04 (22353) 1
* 50304: obj =   7.206560963e+00 inf =   2.179e-04 (22454) 1
* 50418: obj =   7.201957800e+00 inf =   2.164e-04 (22620) 1
* 50531: obj =   7.192205780e+00 inf =   2.137e-04 (22165) 1
* 50645: obj =   7.180025058e+00 inf =   2.154e-04 (22482) 1
* 50757: obj =   7.161813096e+00 inf =   2.164e-04 (23919) 1
* 50868: obj =   7.141127162e+00 inf =   2.179e-04 (22547) 1
* 50978: obj =   7.128537727e+00 inf =   2.182e-04 (22955) 1
* 51088: obj =   7.121847620e+00 inf =   2.100e-04 (23111) 1
* 51203: obj =   7.119721353e+00 inf =   2.013e-04 (23330) 1
* 51316: obj =   7.113942522e+00 inf =   2.116e-04 (22972) 2
* 51429: obj =   7.108054151e+00 inf =   2.110e-04 (22449) 1
* 51542: obj =   7.095541528e+00 inf =   2.116e-04 (22169) 1
* 51654: obj =   7.083301921e+00 inf =   2.123e-04 (22338) 1
* 51765: obj =   7.072991980e+00 inf =   2.136e-04 (22524) 1
* 51873: obj =   7.057807339e+00 inf =   2.142e-04 (22207) 1
* 51982: obj =   7.042939815e+00 inf =   2.189e-04 (22117) 1
* 52094: obj =   7.038208079e+00 inf =   2.248e-04 (22922) 1
* 52208: obj =   7.034071615e+00 inf =   2.291e-04 (23322) 1
* 52321: obj =   7.029057105e+00 inf =   2.214e-04 (21999) 1
* 52433: obj =   7.025500472e+00 inf =   2.194e-04 (23560) 1
* 52544: obj =   7.014699865e+00 inf =   2.248e-04 (23180) 1
* 52652: obj =   7.000190616e+00 inf =   2.260e-04 (22831) 1
* 52762: obj =   6.989996812e+00 inf =   2.264e-04 (23359) 1
* 52871: obj =   6.971229087e+00 inf =   2.162e-04 (22471) 1
* 52979: obj =   6.961233633e+00 inf =   2.148e-04 (22893) 1
* 53089: obj =   6.942436781e+00 inf =   2.155e-04 (23268) 1
* 53199: obj =   6.939330007e+00 inf =   2.322e-04 (23311) 2
* 53315: obj =   6.937905477e+00 inf =   2.316e-04 (23134) 1
* 53429: obj =   6.934071780e+00 inf =   2.301e-04 (22645) 1
* 53537: obj =   6.928587432e+00 inf =   2.324e-04 (22247) 1
* 53645: obj =   6.918653816e+00 inf =   2.330e-04 (22392) 1
* 53754: obj =   6.909089383e+00 inf =   2.331e-04 (23116) 1
* 53860: obj =   6.891885970e+00 inf =   2.352e-04 (22067) 1
* 53966: obj =   6.874935685e+00 inf =   2.375e-04 (23123) 1
* 54074: obj =   6.866471648e+00 inf =   2.383e-04 (22199) 1
* 54186: obj =   6.861707772e+00 inf =   2.389e-04 (23749) 1
* 54300: obj =   6.858538195e+00 inf =   2.423e-04 (22362) 1
* 54412: obj =   6.856218097e+00 inf =   2.387e-04 (22448) 1
* 54525: obj =   6.853679437e+00 inf =   2.394e-04 (23657) 1
* 54634: obj =   6.846061866e+00 inf =   2.393e-04 (22702) 1
* 54738: obj =   6.825933753e+00 inf =   2.400e-04 (22816) 1
* 54846: obj =   6.817314622e+00 inf =   2.420e-04 (22989) 1
* 54952: obj =   6.810074158e+00 inf =   2.437e-04 (22606) 1
* 55057: obj =   6.802836648e+00 inf =   2.491e-04 (22453) 1
* 55168: obj =   6.800106550e+00 inf =   2.479e-04 (23387) 1
* 55280: obj =   6.799242519e+00 inf =   2.601e-04 (22678) 1
* 55392: obj =   6.797167731e+00 inf =   2.630e-04 (22128) 1
* 55504: obj =   6.793563674e+00 inf =   2.636e-04 (23510) 1
* 55611: obj =   6.787645362e+00 inf =   2.703e-04 (23409) 2
* 55721: obj =   6.782364899e+00 inf =   2.702e-04 (23237) 1
* 55831: obj =   6.779382255e+00 inf =   2.725e-04 (22552) 1
* 55937: obj =   6.766244269e+00 inf =   2.746e-04 (22284) 1
* 56040: obj =   6.750411664e+00 inf =   2.755e-04 (22716) 1
* 56154: obj =   6.748542743e+00 inf =   2.749e-04 (22793) 1
* 56266: obj =   6.746149087e+00 inf =   2.754e-04 (23388) 1
* 56376: obj =   6.741359864e+00 inf =   2.755e-04 (22331) 1
* 56489: obj =   6.737962261e+00 inf =   2.761e-04 (21378) 1
* 56600: obj =   6.731755843e+00 inf =   2.765e-04 (22120) 1
* 56711: obj =   6.720244542e+00 inf =   2.778e-04 (21765) 1
* 56820: obj =   6.712382658e+00 inf =   2.786e-04 (21793) 1
* 56926: obj =   6.700322175e+00 inf =   2.772e-04 (22919) 1
* 57030: obj =   6.687273523e+00 inf =   2.755e-04 (22033) 1
* 57139: obj =   6.681079418e+00 inf =   2.723e-04 (24071) 1
* 57251: obj =   6.678299989e+00 inf =   2.722e-04 (22227) 1
* 57363: obj =   6.676564997e+00 inf =   2.743e-04 (22580) 1
* 57475: obj =   6.673422916e+00 inf =   2.796e-04 (22687) 1
* 57586: obj =   6.667798033e+00 inf =   2.803e-04 (22560) 1
* 57694: obj =   6.661175511e+00 inf =   2.907e-04 (21872) 1
* 57797: obj =   6.647891388e+00 inf =   2.926e-04 (22680) 1
* 57904: obj =   6.637281740e+00 inf =   2.990e-04 (23031) 1
* 58014: obj =   6.627545609e+00 inf =   3.015e-04 (22895) 2
* 58123: obj =   6.620869582e+00 inf =   3.032e-04 (24219) 1
* 58235: obj =   6.619887970e+00 inf =   3.145e-04 (24128) 1
* 58345: obj =   6.616904885e+00 inf =   3.145e-04 (22595) 1
* 58457: obj =   6.615892024e+00 inf =   3.165e-04 (22372) 1
* 58571: obj =   6.615038915e+00 inf =   3.154e-04 (22419) 1
* 58683: obj =   6.607671751e+00 inf =   3.109e-04 (23055) 1
* 58796: obj =   6.601544397e+00 inf =   3.145e-04 (23098) 1
* 58908: obj =   6.596275126e+00 inf =   3.179e-04 (22040) 1
* 59016: obj =   6.587629949e+00 inf =   3.114e-04 (24138) 1
* 59125: obj =   6.584368223e+00 inf =   3.119e-04 (24244) 1
* 59236: obj =   6.581746603e+00 inf =   3.039e-04 (23142) 1
* 59346: obj =   6.580113617e+00 inf =   3.126e-04 (23323) 1
* 59457: obj =   6.579008923e+00 inf =   3.229e-04 (23008) 1
* 59566: obj =   6.572312365e+00 inf =   3.224e-04 (22550) 1
* 59669: obj =   6.561291660e+00 inf =   3.235e-04 (21609) 1
* 59770: obj =   6.550541143e+00 inf =   3.247e-04 (22538) 1
* 59873: obj =   6.539500589e+00 inf =   3.258e-04 (22672) 1
* 59979: obj =   6.533387919e+00 inf =   3.268e-04 (22377) 1
* 60088: obj =   6.527901363e+00 inf =   3.269e-04 (23536) 1
* 60200: obj =   6.527678760e+00 inf =   3.289e-04 (23178) 1
* 60309: obj =   6.525800281e+00 inf =   3.307e-04 (21951) 1
* 60419: obj =   6.523659291e+00 inf =   3.343e-04 (23718) 1
* 60531: obj =   6.521121442e+00 inf =   3.352e-04 (22829) 1
* 60640: obj =   6.516616975e+00 inf =   3.390e-04 (22267) 1
* 60743: obj =   6.510316211e+00 inf =   3.378e-04 (22800) 2
* 60849: obj =   6.503333566e+00 inf =   3.377e-04 (22787) 1
* 60953: obj =   6.494217848e+00 inf =   3.377e-04 (22273) 1
* 61058: obj =   6.480310542e+00 inf =   3.383e-04 (22126) 1
* 61168: obj =   6.477573351e+00 inf =   3.387e-04 (23051) 1
* 61277: obj =   6.476276924e+00 inf =   3.406e-04 (22769) 1
* 61385: obj =   6.472988040e+00 inf =   3.413e-04 (23134) 1
* 61493: obj =   6.466643870e+00 inf =   3.422e-04 (23089) 1
* 61600: obj =   6.454185569e+00 inf =   3.417e-04 (22343) 1
* 61709: obj =   6.449265029e+00 inf =   3.434e-04 (23075) 1
* 61818: obj =   6.443208442e+00 inf =   3.428e-04 (22253) 1
* 61921: obj =   6.431445441e+00 inf =   3.452e-04 (22109) 1
* 62022: obj =   6.426266003e+00 inf =   3.419e-04 (23178) 1
* 62133: obj =   6.421402943e+00 inf =   3.353e-04 (22985) 1
* 62244: obj =   6.418793805e+00 inf =   3.348e-04 (23678) 1
* 62353: obj =   6.416366469e+00 inf =   3.333e-04 (23093) 1
* 62462: obj =   6.413457242e+00 inf =   3.442e-04 (23429) 1
* 62571: obj =   6.408082259e+00 inf =   3.424e-04 (22661) 1
* 62679: obj =   6.402023218e+00 inf =   3.551e-04 (22710) 1
* 62782: obj =   6.390607590e+00 inf =   3.707e-04 (21562) 1
* 62889: obj =   6.385820790e+00 inf =   3.777e-04 (21826) 1
* 62995: obj =   6.377561395e+00 inf =   3.781e-04 (21749) 1
* 63103: obj =   6.368006301e+00 inf =   3.798e-04 (23156) 1
* 63214: obj =   6.367453554e+00 inf =   3.728e-04 (22603) 1
* 63326: obj =   6.366001427e+00 inf =   3.731e-04 (22910) 1
* 63439: obj =   6.364659573e+00 inf =   3.773e-04 (23094) 1
* 63550: obj =   6.362331671e+00 inf =   3.739e-04 (23068) 1
* 63659: obj =   6.360690314e+00 inf =   3.705e-04 (22470) 2
* 63769: obj =   6.358883269e+00 inf =   3.719e-04 (21980) 1
* 63879: obj =   6.354885177e+00 inf =   3.722e-04 (23119) 1
* 63986: obj =   6.345330938e+00 inf =   3.664e-04 (22904) 1
* 64093: obj =   6.337655289e+00 inf =   3.610e-04 (23566) 1
* 64203: obj =   6.336542361e+00 inf =   3.561e-04 (23320) 1
* 64314: obj =   6.334611182e+00 inf =   3.428e-04 (23643) 1
* 64423: obj =   6.331948213e+00 inf =   3.441e-04 (22462) 1
* 64534: obj =   6.329624618e+00 inf =   3.393e-04 (22521) 1
* 64643: obj =   6.325004895e+00 inf =   3.442e-04 (22393) 1
* 64752: obj =   6.319014898e+00 inf =   3.439e-04 (22611) 1
* 64860: obj =   6.315484363e+00 inf =   3.439e-04 (22945) 1
* 64968: obj =   6.309711022e+00 inf =   3.664e-04 (22464) 1
* 65076: obj =   6.300368447e+00 inf =   3.693e-04 (22383) 1
* 65189: obj =   6.299766232e+00 inf =   3.732e-04 (22597) 1
* 65301: obj =   6.297409959e+00 inf =   3.748e-04 (22776) 1
* 65412: obj =   6.296046519e+00 inf =   3.644e-04 (23055) 1
* 65523: obj =   6.293454502e+00 inf =   3.645e-04 (22277) 1
* 65633: obj =   6.292136784e+00 inf =   3.657e-04 (23046) 1
* 65743: obj =   6.289160495e+00 inf =   3.723e-04 (22895) 1
* 65846: obj =   6.282071410e+00 inf =   3.669e-04 (22539) 2
* 65952: obj =   6.278834456e+00 inf =   3.670e-04 (22797) 1
* 66056: obj =   6.269710301e+00 inf =   3.669e-04 (22263) 1
* 66166: obj =   6.267995384e+00 inf =   3.736e-04 (22433) 1
* 66274: obj =   6.267793603e+00 inf =   3.660e-04 (23184) 1
* 66383: obj =   6.265247263e+00 inf =   3.641e-04 (23475) 1
* 66490: obj =   6.262622099e+00 inf =   3.632e-04 (21974) 1
* 66597: obj =   6.259993651e+00 inf =   3.681e-04 (22467) 1
* 66704: obj =   6.256493079e+00 inf =   3.659e-04 (22388) 1
* 66809: obj =   6.251092971e+00 inf =   3.672e-04 (22228) 1
* 66913: obj =   6.241049065e+00 inf =   3.662e-04 (22064) 1
* 67017: obj =   6.235285958e+00 inf =   3.730e-04 (22829) 1
* 67125: obj =   6.230067705e+00 inf =   3.705e-04 (23220) 1
* 67233: obj =   6.228209932e+00 inf =   3.636e-04 (21997) 1
* 67340: obj =   6.227181848e+00 inf =   3.628e-04 (22778) 1
* 67449: obj =   6.225760795e+00 inf =   3.643e-04 (23180) 1
* 67557: obj =   6.224134868e+00 inf =   3.616e-04 (23422) 1
* 67665: obj =   6.222564853e+00 inf =   3.642e-04 (23208) 1
* 67771: obj =   6.220045457e+00 inf =   3.574e-04 (23422) 1
* 67876: obj =   6.215128788e+00 inf =   3.587e-04 (23174) 1
* 67976: obj =   6.202856325e+00 inf =   3.610e-04 (23491) 1
* 68081: obj =   6.197688142e+00 inf =   3.601e-04 (22684) 1
* 68189: obj =   6.196636860e+00 inf =   3.625e-04 (22653) 1
* 68295: obj =   6.195099165e+00 inf =   3.641e-04 (22331) 1
* 68399: obj =   6.188853765e+00 inf =   3.666e-04 (23026) 1
* 68504: obj =   6.183826013e+00 inf =   3.658e-04 (22576) 1
* 68609: obj =   6.179843569e+00 inf =   3.684e-04 (22506) 1
* 68714: obj =   6.172469512e+00 inf =   3.697e-04 (21937) 1
* 68817: obj =   6.166269280e+00 inf =   3.700e-04 (21833) 1
* 68919: obj =   6.157406817e+00 inf =   3.728e-04 (22416) 1
* 69019: obj =   6.147837336e+00 inf =   3.738e-04 (21694) 1
* 69125: obj =   6.145251599e+00 inf =   3.698e-04 (22539) 1
* 69232: obj =   6.143627328e+00 inf =   3.773e-04 (22770) 1
* 69339: obj =   6.141195977e+00 inf =   3.807e-04 (23219) 1
* 69446: obj =   6.138698196e+00 inf =   3.788e-04 (23745) 1
* 69552: obj =   6.137896130e+00 inf =   3.800e-04 (22767) 1
* 69659: obj =   6.135421590e+00 inf =   3.802e-04 (22442) 1
* 69763: obj =   6.128216222e+00 inf =   3.875e-04 (22667) 1
* 69867: obj =   6.121965406e+00 inf =   3.855e-04 (21672) 1
* 69970: obj =   6.115420145e+00 inf =   3.907e-04 (23055) 1
* 70071: obj =   6.108611791e+00 inf =   3.900e-04 (22015) 1
* 70180: obj =   6.107976139e+00 inf =   3.968e-04 (23348) 1
* 70289: obj =   6.107040738e+00 inf =   3.960e-04 (23201) 1
* 70396: obj =   6.105039639e+00 inf =   3.865e-04 (22740) 1
* 70502: obj =   6.102561021e+00 inf =   3.876e-04 (22227) 1
* 70606: obj =   6.096736370e+00 inf =   3.879e-04 (22408) 1
* 70709: obj =   6.088804019e+00 inf =   3.893e-04 (22056) 1
* 70814: obj =   6.082267687e+00 inf =   3.951e-04 (22614) 1
* 70920: obj =   6.076585990e+00 inf =   3.946e-04 (22778) 1
* 71026: obj =   6.072995232e+00 inf =   3.950e-04 (22882) 1
* 71132: obj =   6.066598059e+00 inf =   3.899e-04 (22488) 1
* 71240: obj =   6.065338052e+00 inf =   3.946e-04 (22354) 1
* 71349: obj =   6.062917432e+00 inf =   4.217e-04 (22218) 1
* 71457: obj =   6.060817935e+00 inf =   4.249e-04 (22882) 1
* 71565: obj =   6.059261093e+00 inf =   4.242e-04 (23141) 1
* 71670: obj =   6.057828875e+00 inf =   4.253e-04 (22317) 2
* 71778: obj =   6.056091541e+00 inf =   4.256e-04 (23164) 1
* 71885: obj =   6.053085402e+00 inf =   4.271e-04 (23031) 1
* 71990: obj =   6.046477492e+00 inf =   4.359e-04 (23023) 1
* 72098: obj =   6.043571748e+00 inf =   4.310e-04 (23425) 1
* 72206: obj =   6.042604526e+00 inf =   4.316e-04 (22076) 1
* 72314: obj =   6.041523551e+00 inf =   4.252e-04 (23411) 1
* 72422: obj =   6.040166130e+00 inf =   4.578e-04 (23600) 1
* 72529: obj =   6.038624721e+00 inf =   4.579e-04 (23052) 1
* 72636: obj =   6.036122177e+00 inf =   4.611e-04 (22949) 1
* 72742: obj =   6.034317810e+00 inf =   4.614e-04 (22640) 1
* 72846: obj =   6.026496530e+00 inf =   4.716e-04 (22580) 1
* 72951: obj =   6.024123527e+00 inf =   4.790e-04 (23115) 1
* 73055: obj =   6.017274593e+00 inf =   4.865e-04 (22577) 1
* 73162: obj =   6.014892529e+00 inf =   4.755e-04 (23900) 1
* 73271: obj =   6.014762222e+00 inf =   4.738e-04 (22228) 1
* 73379: obj =   6.013745853e+00 inf =   4.732e-04 (23087) 1
* 73484: obj =   6.012928116e+00 inf =   4.867e-04 (22997) 1
* 73591: obj =   6.011254686e+00 inf =   4.859e-04 (23075) 1
* 73696: obj =   6.009484744e+00 inf =   4.773e-04 (21838) 1
* 73801: obj =   6.006418152e+00 inf =   4.800e-04 (23198) 1
* 73907: obj =   6.004161802e+00 inf =   4.832e-04 (22639) 1
* 74011: obj =   5.996245716e+00 inf =   4.882e-04 (22429) 1
* 74117: obj =   5.994296237e+00 inf =   4.913e-04 (22640) 1
* 74225: obj =   5.993479399e+00 inf =   4.837e-04 (22127) 1
* 74331: obj =   5.992285666e+00 inf =   4.940e-04 (22654) 1
* 74437: obj =   5.990901039e+00 inf =   4.909e-04 (22849) 1
* 74545: obj =   5.989838443e+00 inf =   4.930e-04 (23874) 1
* 74651: obj =   5.986979689e+00 inf =   4.866e-04 (22960) 1
* 74756: obj =   5.984219722e+00 inf =   4.915e-04 (22568) 1
* 74859: obj =   5.980572999e+00 inf =   4.946e-04 (21412) 1
* 74962: obj =   5.975717644e+00 inf =   4.969e-04 (22766) 1
* 75064: obj =   5.969340964e+00 inf =   5.122e-04 (23687) 1
* 75172: obj =   5.968123026e+00 inf =   5.057e-04 (23558) 1
* 75280: obj =   5.966980329e+00 inf =   4.954e-04 (21466) 1
* 75387: obj =   5.965361216e+00 inf =   4.940e-04 (23064) 1
* 75493: obj =   5.963996592e+00 inf =   4.959e-04 (22650) 1
* 75600: obj =   5.961838977e+00 inf =   4.963e-04 (23515) 1
* 75708: obj =   5.960279190e+00 inf =   4.993e-04 (22593) 1
* 75813: obj =   5.957715076e+00 inf =   4.935e-04 (22461) 1
* 75915: obj =   5.946814010e+00 inf =   4.970e-04 (22615) 1
* 76020: obj =   5.941101988e+00 inf =   4.964e-04 (23164) 1
* 76121: obj =   5.934250135e+00 inf =   4.981e-04 (23224) 1
* 76229: obj =   5.932089527e+00 inf =   4.958e-04 (22926) 1
* 76338: obj =   5.930114345e+00 inf =   4.999e-04 (23361) 1
* 76444: obj =   5.928598269e+00 inf =   5.001e-04 (22623) 1
* 76552: obj =   5.927279444e+00 inf =   4.959e-04 (23230) 1
* 76657: obj =   5.925035906e+00 inf =   4.999e-04 (22701) 1
* 76762: obj =   5.922912642e+00 inf =   4.974e-04 (22723) 1
* 76866: obj =   5.917914075e+00 inf =   5.024e-04 (22701) 1
* 76971: obj =   5.915890955e+00 inf =   5.038e-04 (22870) 1
* 77076: obj =   5.913039156e+00 inf =   5.016e-04 (21349) 1
* 77183: obj =   5.910336973e+00 inf =   5.046e-04 (23145) 1
* 77290: obj =   5.909649761e+00 inf =   5.180e-04 (23985) 1
* 77395: obj =   5.908282977e+00 inf =   5.168e-04 (23418) 1
* 77499: obj =   5.906215454e+00 inf =   5.156e-04 (22681) 1
* 77602: obj =   5.903491288e+00 inf =   5.123e-04 (22296) 1
* 77705: obj =   5.900242524e+00 inf =   5.128e-04 (22235) 1
* 77806: obj =   5.893932708e+00 inf =   5.169e-04 (22927) 1
* 77908: obj =   5.889514670e+00 inf =   5.151e-04 (23791) 1
* 78009: obj =   5.885047083e+00 inf =   5.166e-04 (22167) 1
* 78111: obj =   5.879762573e+00 inf =   5.342e-04 (23087) 1
* 78218: obj =   5.879191339e+00 inf =   5.572e-04 (22472) 1
* 78324: obj =   5.878696490e+00 inf =   5.501e-04 (22534) 1
* 78431: obj =   5.878195552e+00 inf =   5.536e-04 (22610) 1
* 78537: obj =   5.877272837e+00 inf =   5.528e-04 (24156) 1
* 78643: obj =   5.876069548e+00 inf =   5.466e-04 (22177) 1
* 78748: obj =   5.874513742e+00 inf =   5.439e-04 (22380) 1
* 78852: obj =   5.870995672e+00 inf =   5.576e-04 (23098) 1
* 78954: obj =   5.868601220e+00 inf =   5.579e-04 (22409) 1
* 79056: obj =   5.863112276e+00 inf =   5.627e-04 (21915) 1
* 79161: obj =   5.861151721e+00 inf =   5.678e-04 (22259) 1
* 79268: obj =   5.859900880e+00 inf =   5.758e-04 (23384) 1
* 79372: obj =   5.859724038e+00 inf =   5.756e-04 (22802) 2
* 79478: obj =   5.859109163e+00 inf =   5.737e-04 (23011) 1
* 79584: obj =   5.858435201e+00 inf =   5.765e-04 (21670) 1
* 79688: obj =   5.857531443e+00 inf =   5.786e-04 (22864) 1
* 79793: obj =   5.856625097e+00 inf =   5.784e-04 (23331) 1
* 79896: obj =   5.853208297e+00 inf =   5.765e-04 (21782) 1
* 79995: obj =   5.846668529e+00 inf =   5.847e-04 (23588) 1
* 80100: obj =   5.845020704e+00 inf =   5.873e-04 (22803) 1
* 80206: obj =   5.844456894e+00 inf =   5.878e-04 (22313) 1
* 80302: obj =   5.843444221e+00 inf =   5.907e-04 (22703)
* 80400: obj =   5.842978386e+00 inf =   5.943e-04 (22711) 1
* 80487: obj =   5.842110802e+00 inf =   5.863e-04 (22054) 1
* 80580: obj =   5.841640730e+00 inf =   5.849e-04 (22501) 1
* 80676: obj =   5.839714742e+00 inf =   5.903e-04 (22184) 1
* 80778: obj =   5.837816847e+00 inf =   5.955e-04 (22290) 1
* 80879: obj =   5.833717406e+00 inf =   5.998e-04 (22072) 1
* 80971: obj =   5.826853119e+00 inf =   5.997e-04 (22771) 1
* 81064: obj =   5.822617739e+00 inf =   6.003e-04 (23531) 1
* 81167: obj =   5.821625810e+00 inf =   5.985e-04 (22714) 1
* 81274: obj =   5.820652475e+00 inf =   6.019e-04 (22601) 1
* 81379: obj =   5.819949096e+00 inf =   5.921e-04 (23458) 1
* 81484: obj =   5.819712239e+00 inf =   6.028e-04 (23615) 1
* 81589: obj =   5.819362151e+00 inf =   6.047e-04 (23204) 1
* 81695: obj =   5.818656760e+00 inf =   6.077e-04 (23413) 1
* 81797: obj =   5.815340770e+00 inf =   6.085e-04 (23100) 1
* 81898: obj =   5.809797932e+00 inf =   6.107e-04 (23264) 1
* 82002: obj =   5.807153721e+00 inf =   6.125e-04 (22178) 1
* 82105: obj =   5.802860310e+00 inf =   6.137e-04 (22288) 1
* 82210: obj =   5.802078052e+00 inf =   6.134e-04 (22579) 1
* 82316: obj =   5.801423832e+00 inf =   6.267e-04 (22839) 1
* 82420: obj =   5.800167182e+00 inf =   6.250e-04 (22843) 1
* 82524: obj =   5.798834929e+00 inf =   6.236e-04 (22502) 1
* 82626: obj =   5.795800124e+00 inf =   6.205e-04 (21957) 1
* 82729: obj =   5.791789955e+00 inf =   6.214e-04 (22017) 1
* 82831: obj =   5.787618510e+00 inf =   6.238e-04 (22067) 1
* 82932: obj =   5.783981762e+00 inf =   6.226e-04 (23303) 1
* 83033: obj =   5.780975424e+00 inf =   6.292e-04 (22406) 1
* 83138: obj =   5.776581875e+00 inf =   6.272e-04 (22508) 1
* 83243: obj =   5.776312786e+00 inf =   6.209e-04 (23961) 1
* 83348: obj =   5.776045322e+00 inf =   6.160e-04 (22884) 1
* 83453: obj =   5.775064177e+00 inf =   6.114e-04 (22292) 1
* 83559: obj =   5.774716840e+00 inf =   6.127e-04 (22313) 1
* 83664: obj =   5.773583983e+00 inf =   6.118e-04 (22302) 1
* 83771: obj =   5.772606271e+00 inf =   6.212e-04 (22449) 1
* 83873: obj =   5.766995273e+00 inf =   6.288e-04 (22508) 1
* 83976: obj =   5.762988549e+00 inf =   6.305e-04 (22464) 1
* 84080: obj =   5.760923433e+00 inf =   6.316e-04 (22456) 1
* 84185: obj =   5.760238188e+00 inf =   6.217e-04 (22750) 1
* 84290: obj =   5.759467472e+00 inf =   6.059e-04 (22799) 1
* 84397: obj =   5.758392811e+00 inf =   6.284e-04 (22476) 1
* 84505: obj =   5.758009710e+00 inf =   6.398e-04 (23121) 1
* 84611: obj =   5.756854413e+00 inf =   6.426e-04 (22836) 1
* 84714: obj =   5.754636914e+00 inf =   6.501e-04 (22681) 1
* 84817: obj =   5.750772069e+00 inf =   6.609e-04 (22510) 1
* 84922: obj =   5.749791298e+00 inf =   6.678e-04 (22500) 1
* 85025: obj =   5.746289171e+00 inf =   6.707e-04 (23563) 1
* 85130: obj =   5.744731458e+00 inf =   6.771e-04 (23021) 1
* 85237: obj =   5.744005855e+00 inf =   6.726e-04 (22777) 1
* 85345: obj =   5.743543905e+00 inf =   6.726e-04 (22923) 1
* 85452: obj =   5.743430006e+00 inf =   6.677e-04 (22869) 1
* 85557: obj =   5.743234794e+00 inf =   6.667e-04 (22874) 1
* 85663: obj =   5.742756614e+00 inf =   6.646e-04 (23326) 1
* 85771: obj =   5.742132547e+00 inf =   6.596e-04 (22639) 1
* 85877: obj =   5.741397087e+00 inf =   6.597e-04 (23432) 1
* 85980: obj =   5.738645287e+00 inf =   6.366e-04 (22954) 1
* 86084: obj =   5.737522911e+00 inf =   6.330e-04 (23250) 1
* 86192: obj =   5.737034411e+00 inf =   6.412e-04 (21888) 1
* 86298: obj =   5.736239050e+00 inf =   6.481e-04 (22333) 1
* 86403: obj =   5.735496953e+00 inf =   6.505e-04 (22835) 1
* 86508: obj =   5.734389664e+00 inf =   6.541e-04 (22785) 1
* 86614: obj =   5.732494602e+00 inf =   6.526e-04 (22361) 1
* 86717: obj =   5.729748879e+00 inf =   6.609e-04 (22543) 1
* 86815: obj =   5.721477172e+00 inf =   6.610e-04 (22388) 1
* 86918: obj =   5.718330723e+00 inf =   6.608e-04 (22587) 1
* 87020: obj =   5.714624703e+00 inf =   6.574e-04 (21731) 1
* 87121: obj =   5.711625816e+00 inf =   6.479e-04 (23191) 1
* 87227: obj =   5.710531074e+00 inf =   6.634e-04 (23064) 1
* 87333: obj =   5.710211094e+00 inf =   6.758e-04 (23126) 1
* 87439: obj =   5.709420809e+00 inf =   6.791e-04 (23048) 1
* 87544: obj =   5.708779649e+00 inf =   6.815e-04 (23817) 1
* 87648: obj =   5.707226973e+00 inf =   6.685e-04 (23258) 1
* 87752: obj =   5.705956446e+00 inf =   6.603e-04 (22311) 1
